Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,Rogers St.,33,Oral Roberts,63,93,-30
NA,St. Louis Pharmacy,NA,SIUE,45,80,-35
NA,Utah Valley,40,BYU,60,82,-22
NA,Montana,6,Southern California,62,76,-14
15,Eastern Wash.,NA,Washington St.,68,71,-3
NA,Transylvania,NA,Bellarmine,40,90,-50
NA,UMass Lowell,20,Ohio St.,64,74,-10
NA,Ark.-Pine Bluff,NA,Iowa St.,63,80,-17
NA,Richmond,NA,Kentucky,76,64,12
NA,Tulsa,NA,South Carolina,58,69,-11
NA,Northwestern St.,NA,Louisiana Tech,77,91,-14
NA,Lipscomb,NA,Tulane,66,68,-2
NA,Boise St.,NA,Sam Houston St.,86,55,31
51,Mount St. Mary's,44,Maryland,61,79,-18
NA,Our Lady of the Lake,NA,UIW,71,84,-13
NA,Florida A&M,NA,Georgia,75,85,-10
NA,Alabama A&M,NA,Samford,78,76,2
NA,Northwest (WA),NA,Portland,69,74,-5
NA,New Orleans,NA,Texas A&M,53,82,-29
NA,Air Force,NA,Seattle U,45,63,-18
NA,TCU,65,Liberty,56,52,4
NA,Arkansas St.,66,Morehead St.,61,69,-8
NA,Hofstra,62,Rutgers,56,70,-14
NA,Houston Baptist,NA,Arizona St.,77,100,-23
NA,North Dakota St.,5,Creighton,58,69,-11
NA,Jacksonville St.,NA,South Alabama,77,73,4
NA,Greenville,NA,Murray St.,95,173,-78
24,Texas Tech,54,Houston,53,64,-11
NA,San Francisco,NA,Rhode Island,71,84,-13
NA,North Florida,NA,Miami (FL),59,77,-18
NA,Prairie View,NA,Louisville,64,86,-22
NA,Oakland,35,Michigan,71,81,-10
NA,Washington,19,Baylor,52,86,-34
NA,St. Katherine,13,UC Santa Barbara,55,92,-37
NA,New Mexico St.,NA,Arizona Christian,83,77,6
28,Virginia Tech,NA,South Fla.,76,58,18
NA,Radford,NA,James Madison,59,67,-8
NA,Piedmont,NA,Western Caro.,58,96,-38
37,Texas,NA,Davidson,78,76,2
NA,Indiana,NA,Providence,79,58,21
NA,Mobile,NA,Jacksonville St.,66,85,-19
NA,Little Rock,NA,Duquesne,76,66,10
NA,St. Andrews,NA,Campbell,51,85,-34
NA,CSUN,NA,Seattle U,76,65,11
NA,Bowling Green,18,App State,78,76,2
NA,Boston College,NA,St. John's (NY),93,97,-4
NA,Chattanooga,NA,Tennessee Tech,62,54,8
NA,Fairleigh Dickinson,NA,Hofstra,58,73,-15
NA,Eastern Ky.,NA,Xavier,96,99,-3
NA,Georgia St.,NA,Mercer,69,86,-17
26,North Carolina,NA,UNLV,78,51,27
NA,Auburn,NA,UCF,55,63,-8
NA,Nicholls St.,NA,California,49,60,-11
NA,Southeastern La.,42,LSU,43,96,-53
NA,LMU (CA),NA,Minnesota,64,67,-3
NA,Texas St.,NA,Mississippi St.,51,68,-17
NA,A&M-Corpus Christi,NA,SMU,54,91,-37
NA,Kansas City,NA,Kansas St.,58,62,-4
52,Texas Southern,NA,Wyoming,76,74,2
50,Iona,NA,Seton Hall,64,86,-22
NA,Stanford,36,Alabama,82,64,18
NA,Pacific,NA,Nevada,58,70,-12
37,Texas,NA,Indiana,66,44,22
6,Southern California,40,BYU,79,53,26
NA,Oakland,22,Purdue,50,93,-43
NA,Saint Francis (PA),4,Virginia,51,76,-25
NA,UC Riverside,NA,Washington,57,42,15
NA,Bryant,NA,New Hampshire,93,85,8
26,North Carolina,NA,Stanford,67,63,4
NA,Longwood,NA,VMI,71,84,-13
NA,N.C. Wesleyan,NA,East Carolina,62,91,-29
NA,Omaha,5,Creighton,67,94,-27
NA,Green Bay,27,Wisconsin,42,82,-40
34,Hartford,23,Villanova,53,87,-34
NA,Lincoln (PA),NA,Morgan St.,94,102,-8
NA,Western Ky.,NA,Louisville,54,75,-21
NA,Navy,47,Georgetown,78,71,7
NA,Stony Brook,NA,Saint Peter's,68,82,-14
NA,Davidson,NA,Providence,62,63,-1
NA,Eastern Ill.,NA,Dayton,63,66,-3
NA,Central Mich.,NA,FIU,76,96,-20
NA,N.C. A&T,NA,Charleston So.,70,63,7
56,Oklahoma St.,NA,Marquette,70,62,8
NA,Valparaiso,NA,UIC,50,66,-16
67,Cleveland St.,NA,Toledo,61,70,-9
45,Michigan St.,NA,Duke,75,69,6
NA,LeTourneau,NA,SFA,57,102,-45
NA,Hampton,NA,George Washington,82,78,4
NA,Judson (AL),NA,Bradley,32,105,-73
NA,Howard Payne,49,Abilene Christian,51,81,-30
30,Winthrop,48,UNC Greensboro,75,67,8
NA,South Dakota,NA,Nebraska,69,76,-7
NA,Mississippi Val.,16,Grand Canyon,49,88,-39
NA,Kentucky,3,Kansas,62,65,-3
NA,UNLV,36,Alabama,74,86,-12
NA,Nicholls St.,NA,Saint Mary's (CA),50,73,-23
NA,Indiana,NA,Stanford,79,63,16
NA,Army West Point,25,Florida,69,76,-7
37,Texas,26,North Carolina,69,67,2
NA,FGCU,NA,South Fla.,57,76,-19
10,VCU,NA,Penn St.,69,72,-3
66,Morehead St.,20,Ohio St.,44,77,-33
NA,Lipscomb,NA,Cincinnati,55,67,-12
NA,Montana St.,NA,Pacific,70,74,-4
NA,St. John's (NY),40,BYU,68,74,-6
NA,Eastern Ky.,NA,USC Upstate,95,78,17
NA,Greenville,NA,Illinois St.,108,177,-69
48,UNC Greensboro,NA,Duquesne,68,81,-13
NA,South Carolina St.,59,Clemson,38,75,-37
NA,Southern Wesleyan,NA,Furman,49,89,-40
NA,Providence,36,Alabama,71,88,-17
NA,North Georgia,NA,Georgia,62,84,-22
55,West Virginia,1,Gonzaga,82,87,-5
