Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,Maine,NA,NJIT,54,63,-9
NA,UMBC,NA,New Hampshire,69,54,15
NA,Morgan St.,17,Norfolk St.,78,74,4
NA,Delaware,NA,William & Mary,62,67,-5
NA,Navy,NA,Lehigh,69,61,8
NA,Akron,NA,Eastern Mich.,59,71,-12
57,Tennessee,NA,Texas A&M,68,54,14
NA,Montana St.,NA,Northern Colo.,76,74,2
NA,Fordham,NA,Duquesne,45,48,-3
NA,UNC Asheville,NA,Hampton,71,73,-2
NA,Army West Point,NA,Holy Cross,83,68,15
NA,Youngstown St.,NA,Wright St.,55,93,-38
19,Baylor,NA,TCU,67,49,18
NA,South Alabama,NA,Coastal Carolina,69,83,-14
NA,Houston Baptist,NA,Lamar University,65,71,-6
NA,Washington,NA,California,78,84,-6
NA,Northwest Nazarene,NA,Portland St.,75,72,3
NA,Georgia,21,Arkansas,69,99,-30
24,Texas Tech,NA,Iowa St.,91,64,27
NA,Rider,NA,Niagara,55,66,-11
NA,Lafayette,NA,Bucknell,83,60,23
NA,Western Mich.,NA,Kent St.,54,80,-26
NA,Jacksonville St.,66,Morehead St.,55,56,-1
NA,Manhattan,NA,Quinnipiac,45,42,3
NA,UNLV,NA,Colorado St.,80,83,-3
NA,Ga. Southern,18,App State,71,77,-6
NA,La Salle,NA,Massachusetts,67,83,-16
31,North Texas,NA,UTSA,69,77,-8
NA,Tulane,54,Houston,50,71,-21
41,UConn,NA,Butler,72,60,12
NA,Whitworth,NA,Montana,67,84,-17
NA,Siena,NA,Fairfield,74,58,16
NA,Bowling Green,NA,Central Mich.,93,65,28
8,Oklahoma,3,Kansas,59,63,-4
NA,Oakland,NA,Green Bay,78,87,-9
NA,Sam Houston,NA,Central Ark.,91,80,11
NA,UIC,NA,Purdue Fort Wayne,55,88,-33
NA,Radford,NA,Charleston So.,79,64,15
NA,Northwestern St.,NA,McNeese,78,75,3
NA,Kentucky,25,Florida,76,58,18
NA,Ball St.,NA,Buffalo,69,86,-17
NA,Austin Peay,NA,Eastern Ill.,74,71,3
NA,Lipscomb,NA,Bellarmine,65,58,7
NA,Little Rock,NA,Louisiana,78,76,2
NA,UT Martin,NA,Belmont,69,89,-20
NA,Kennesaw St.,65,Liberty,47,76,-29
NA,FIU,NA,Middle Tenn.,56,67,-11
NA,Southern Miss.,NA,UAB,58,62,-4
NA,Washington St.,NA,Stanford,60,75,-15
NA,Wofford,48,UNC Greensboro,48,45,3
NA,UT Arlington,NA,ULM,75,74,1
32,Colgate,NA,Boston U.,86,79,7
NA,Alabama St.,NA,Ark.-Pine Bluff,82,91,-9
NA,Albany (NY),NA,Saint Joseph's,64,67,-3
56,Oklahoma St.,NA,Kansas St.,70,54,16
NA,Campbell,NA,Longwood,64,58,6
NA,North Florida,NA,Jacksonville,70,68,2
NA,Southeastern La.,NA,Nicholls,67,87,-20
NA,Southern U.,NA,Grambling,61,55,6
NA,Santa Clara,NA,Saint Mary's (CA),66,64,2
NA,UC Irvine,NA,UC San Diego,79,65,14
NA,Hawaii,NA,UC Riverside,68,70,-2
47,Georgetown,63,Syracuse,69,74,-5
NA,Stetson,NA,North Ala.,66,73,-7
NA,Tennessee Tech,NA,Eastern Ky.,80,90,-10
NA,Northern Ky.,67,Cleveland St.,71,74,-3
NA,Fla. Atlantic,NA,Old Dominion,55,64,-9
6,Southern California,NA,Arizona St.,73,64,9
NA,UIW,NA,New Orleans,64,86,-22
NA,Louisiana Tech,NA,Western Ky.,63,58,5
NA,Belmont Abbey,NA,Charlotte,75,72,3
16,Grand Canyon,NA,Tarleton St.,59,48,11
NA,South Dakota,NA,Kansas City,68,62,6
NA,Long Beach St.,NA,Cal St. Fullerton,72,75,-3
NA,California Baptist,NA,Utah Valley,77,81,-4
1,Gonzaga,NA,Portland,116,88,28
NA,North Dakota,33,Oral Roberts,57,74,-17
NA,Western Ill.,NA,South Dakota St.,63,92,-29
NA,Omaha,NA,North Dakota St.,66,80,-14
42,LSU,NA,Ole Miss,75,61,14
NA,Nevada,58,San Diego St.,67,69,-2
NA,Saint Martin's,NA,Seattle U,63,98,-35
NA,Rice,NA,UTEP,71,68,3
46,UCLA,NA,Arizona,81,76,5
7,Oregon,NA,Utah,79,73,6
NA,Cal Poly,NA,CSU Bakersfield,50,65,-15
NA,Providence,NA,Xavier,73,74,-1
NA,UMBC,NA,New Hampshire,68,66,2
34,Hartford,NA,UMass Lowell,75,58,17
NA,UNC Asheville,NA,Hampton,85,77,8
68,Drexel,NA,Col. of Charleston,68,73,-5
NA,Gardner-Webb,30,Winthrop,83,91,-8
NA,Maine,NA,NJIT,45,41,4
NA,Chowan,NA,James Madison,76,100,-24
NA,Morgan St.,17,Norfolk St.,85,89,-4
NA,Illinois St.,NA,Evansville,73,68,5
NA,Missouri St.,NA,Valparaiso,78,68,10
NA,Marist,NA,Monmouth,62,72,-10
NA,South Carolina St.,NA,Florida A&M,68,70,-2
NA,Vermont,NA,Binghamton,84,44,40
NA,Minnesota,2,Iowa,71,86,-15
NA,Holy Cross,NA,Army West Point,70,61,9
NA,Lehigh,NA,Navy,58,73,-15
NA,Siena,NA,Fairfield,75,68,7
NA,Bradley,NA,UNI,72,78,-6
NA,Radford,NA,Charleston So.,68,48,20
NA,Cincinnati,11,Wichita St.,76,82,-6
NA,Campbell,NA,Longwood,69,78,-9
NA,Notre Dame,28,Virginia Tech,63,77,-14
NA,Bucknell,NA,Lafayette,76,87,-11
NA,Indiana,NA,Nebraska,84,76,8
32,Colgate,NA,Boston U.,89,45,44
60,Loyola Chicago,NA,Indiana St.,71,76,-5
NA,San Francisco,NA,LMU (CA),60,68,-8
NA,San Jose St.,NA,Fresno St.,65,80,-15
44,Maryland,53,Illinois,66,63,3
NA,Temple,NA,SMU,68,79,-11
39,Colorado,NA,Utah,65,58,7
41,UConn,NA,DePaul,60,53,7
60,Loyola Chicago,NA,Indiana St.,58,48,10
52,Texas Southern,NA,Prairie View,67,73,-6
NA,Bradley,NA,UNI,75,73,2
NA,Boise St.,NA,Wyoming,83,60,23
NA,Buffalo,NA,Western Mich.,85,69,16
NA,Akron,NA,Northern Ill.,65,67,-2
NA,Kent St.,NA,Central Mich.,94,85,9
NA,St. Katherine,NA,UNLV,34,95,-61
NA,Alabama St.,NA,Mississippi Val.,64,51,13
NA,Saint Joseph's,NA,Davidson,66,80,-14
NA,Butler,NA,St. John's (NY),57,69,-12
NA,Miami (FL),NA,Boston College,62,84,-22
27,Wisconsin,35,Michigan,54,77,-23
NA,Miami (OH),14,Ohio,61,78,-17
NA,Eastern Mich.,NA,Toledo,63,96,-33
NA,Duke,28,Virginia Tech,67,74,-7
NA,Ole Miss,25,Florida,63,72,-9
NA,Ball St.,NA,Bowling Green,88,64,24
NA,TCU,8,Oklahoma,46,82,-36
3,Kansas,56,Oklahoma St.,70,75,-5
NA,Alcorn,NA,Grambling,74,79,-5
63,Syracuse,26,North Carolina,75,81,-6
NA,Providence,NA,Marquette,69,79,-10
36,Alabama,NA,Kentucky,85,65,20
NA,UC Riverside,6,Southern California,62,67,-5
10,VCU,NA,George Washington,84,77,7
43,St. Bonaventure,NA,Fordham,68,54,14
NA,Furman,NA,The Citadel,94,88,6
NA,N.C. Wesleyan,17,Norfolk St.,58,80,-22
NA,Notre Dame,4,Virginia,68,80,-12
NA,NC State,38,Florida St.,73,105,-32
NA,Duquesne,NA,Dayton,63,72,-9
NA,Tulsa,11,Wichita St.,53,72,-19
NA,Rhode Island,NA,Massachusetts,78,80,-2
NA,Auburn,NA,Georgia,95,77,18
NA,Wofford,NA,VMI,80,78,2
NA,Mercer,NA,Chattanooga,80,83,-3
NA,La Salle,NA,George Mason,42,75,-33
NA,Northwestern,20,Ohio St.,71,81,-10
21,Arkansas,42,LSU,76,92,-16
NA,Central Ark.,NA,SFA,69,95,-26
NA,Nicholls St.,NA,Northwestern St.,76,66,10
NA,Lamar University,NA,Sam Houston,71,96,-25
NA,A&M-Corpus Christi,NA,Southeastern La.,63,76,-13
NA,McNeese,NA,UIW,61,83,-22
NA,Louisville,NA,Wake Forest,77,65,12
NA,Boise St.,NA,Wyoming,90,70,20
24,Texas Tech,37,Texas,79,77,2
NA,Texas A&M,NA,Mississippi St.,56,55,1
NA,New Mexico,NA,Dixie St.,72,63,9
NA,UCF,NA,Temple,55,62,-7
NA,California,39,Colorado,60,89,-29
NA,Charleston So.,NA,UNC Asheville,54,92,-38
NA,Santa Clara,NA,Pacific,58,79,-21
NA,Stanford,NA,Utah,65,79,-14
NA,Washington St.,46,UCLA,61,91,-30
NA,Hampton,NA,USC Upstate,69,68,1
NA,Northern Ariz.,NA,Montana,56,67,-11
48,UNC Greensboro,NA,Samford,87,63,24
NA,Calvin,NA,Eastern Mich.,56,67,-11
NA,Fla. Atlantic,NA,FIU,81,79,2
NA,Presbyterian,NA,Campbell,46,48,-2
NA,LIU,NA,Wagner,77,66,11
NA,Belmont,NA,Tennessee Tech,88,67,21
NA,Longwood,30,Winthrop,61,72,-11
NA,Central Conn. St.,NA,Sacred Heart,48,65,-17
NA,Bryant,NA,Saint Francis (PA),82,89,-7
22,Purdue,NA,Indiana,81,69,12
NA,Merrimack,51,Mount St. Mary's,57,77,-20
NA,San Francisco,NA,Portland,79,63,16
NA,Portland St.,NA,Montana St.,64,71,-7
NA,Tennessee St.,NA,Jacksonville St.,64,65,-1
58,San Diego St.,29,Utah St.,45,57,-12
66,Morehead St.,NA,Eastern Ill.,87,61,26
NA,Pepperdine,1,Gonzaga,70,95,-25
NA,Northern Colo.,NA,Idaho,74,54,20
NA,Southern Utah,15,Eastern Wash.,63,75,-12
NA,Colorado St.,NA,San Jose St.,90,57,33
NA,Washington,6,Southern California,68,95,-27
40,BYU,NA,Saint Mary's (CA),62,52,10
NA,Arizona,64,Oregon St.,98,64,34
NA,CSU Bakersfield,NA,Hawaii,60,55,5
NA,Wingate,44,Maryland,58,100,-42
NA,Hofstra,NA,Delaware,56,74,-18
NA,Charleston So.,NA,UNC Asheville,75,83,-8
33,Oral Roberts,NA,Denver,88,84,4
NA,Old Dominion,NA,Rice,59,69,-10
NA,Bryant,NA,Saint Francis (PA),72,63,9
NA,Merrimack,51,Mount St. Mary's,52,63,-11
NA,Niagara,NA,Manhattan,49,58,-9
NA,Fairfield,NA,Marist,63,73,-10
NA,Quinnipiac,NA,Monmouth,80,92,-12
NA,UAB,NA,Charlotte,61,37,24
NA,Marshall,NA,Western Ky.,73,81,-8
NA,IUPUI,NA,Northern Ky.,74,69,5
NA,Troy,NA,Ga. Southern,64,67,-3
NA,Hampton,NA,USC Upstate,84,74,10
NA,Longwood,30,Winthrop,50,70,-20
NA,North Ala.,NA,Kennesaw St.,66,43,23
NA,Duquesne,43,St. Bonaventure,48,62,-14
18,App State,NA,South Alabama,64,73,-9
NA,Dixie St.,NA,UTRGV,49,82,-33
NA,ULM,NA,Arkansas St.,72,74,-2
NA,Louisiana,NA,UT Arlington,86,91,-5
NA,Siena,NA,Rider,78,69,9
NA,Bellarmine,NA,FGCU,74,60,14
NA,Green Bay,NA,Detroit Mercy,61,86,-25
NA,Bowling Green,NA,Buffalo,76,69,7
NA,UC Riverside,NA,Cal Poly,86,51,35
NA,LIU,NA,Wagner,74,76,-2
NA,Purdue Fort Wayne,NA,Milwaukee,81,72,9
NA,Presbyterian,NA,Campbell,51,73,-22
NA,Youngstown St.,NA,Oakland,65,82,-17
67,Cleveland St.,NA,Wright St.,66,64,2
65,Liberty,NA,Stetson,59,65,-6
NA,Texas St.,NA,Little Rock,63,59,4
NA,UTSA,NA,Louisiana Tech,66,77,-11
NA,UC San Diego,13,UC Santa Barbara,52,69,-17
NA,UTEP,31,North Texas,33,63,-30
NA,North Florida,NA,Lipscomb,72,84,-12
NA,Middle Tenn.,NA,Southern Miss.,54,84,-30
NA,Robert Morris,NA,UIC,53,67,-14
NA,North Dakota St.,NA,North Dakota,62,45,17
27,Wisconsin,62,Rutgers,60,54,6
NA,Utah Valley,NA,Seattle U,93,92,1
NA,Tarleton St.,NA,California Baptist,74,83,-9
NA,Bethesda (CA),16,Grand Canyon,62,121,-59
NA,Fresno St.,NA,Nevada,57,73,-16
NA,CSU Bakersfield,NA,Hawaii,83,72,11
26,North Carolina,38,Florida St.,75,82,-7
63,Syracuse,NA,Pittsburgh,76,96,-20
NA,Georgia,NA,Ole Miss,78,74,4
NA,American,NA,Navy,86,87,-1
NA,Marquette,NA,St. John's (NY),73,71,2
20,Ohio St.,53,Illinois,87,81,6
NA,Army West Point,NA,Boston U.,79,59,20
NA,Temple,NA,Tulane,65,57,8
NA,Holy Cross,32,Colgate,55,95,-40
NA,Northern Ariz.,NA,Montana,62,58,4
NA,William & Mary,68,Drexel,58,82,-24
NA,The Citadel,NA,VMI,103,110,-7
34,Hartford,NA,UMBC,70,63,7
9,Missouri,NA,Texas A&M,68,52,16
NA,Northern Ill.,NA,Ball St.,58,78,-20
NA,Northeastern,NA,Col. of Charleston,67,62,5
58,San Diego St.,29,Utah St.,59,64,-5
33,Oral Roberts,NA,Denver,91,82,9
NA,Old Dominion,NA,Rice,61,58,3
5,Creighton,NA,Butler,66,70,-4
NA,Coppin St.,NA,Morgan St.,72,92,-20
NA,Davidson,NA,La Salle,77,53,24
NA,James Madison,NA,Towson,81,72,9
NA,Wofford,NA,Chattanooga,77,59,18
NA,George Mason,NA,Rhode Island,60,80,-20
NA,Western Caro.,NA,Mercer,76,78,-2
35,Michigan,NA,Minnesota,57,75,-18
NA,Lehigh,NA,Bucknell,70,75,-5
NA,Kentucky,NA,Auburn,59,66,-7
NA,UMass Lowell,NA,Binghamton,92,78,14
NA,New Hampshire,NA,Stony Brook,81,64,17
NA,Kent St.,14,Ohio,89,79,10
NA,Coastal Carolina,NA,Georgia St.,68,71,-3
NA,Toledo,NA,Akron,94,95,-1
NA,Portland St.,NA,Montana St.,64,69,-5
NA,Youngstown St.,NA,Oakland,74,81,-7
NA,Stanford,39,Colorado,64,77,-13
NA,Maine,NA,Vermont,30,65,-35
48,UNC Greensboro,NA,Samford,82,70,12
NA,Troy,NA,Ga. Southern,56,63,-7
NA,Northern Colo.,NA,Idaho,75,61,14
NA,Southern Utah,15,Eastern Wash.,99,94,5
21,Arkansas,36,Alabama,59,90,-31
NA,ETSU,NA,Furman,66,78,-12
NA,Loyola Maryland,NA,Lafayette,75,77,-2
NA,Valparaiso,NA,DePaul,58,77,-19
NA,Bethesda (CA),16,Grand Canyon,47,98,-51
NA,Indiana St.,NA,Illinois St.,73,65,8
NA,Evansville,NA,Bradley,60,69,-9
NA,FIU,NA,Fla. Atlantic,63,107,-44
NA,UAB,NA,Charlotte,55,70,-15
NA,Southeastern La.,49,Abilene Christian,42,76,-34
NA,Boston College,NA,Notre Dame,70,80,-10
NA,Niagara,NA,Manhattan,55,58,-3
19,Baylor,24,Texas Tech,68,60,8
NA,UTEP,31,North Texas,65,74,-9
NA,North Ala.,NA,Kennesaw St.,66,64,2
NA,Wyoming,NA,Air Force,69,72,-3
25,Florida,NA,Mississippi St.,69,72,-3
NA,Alabama St.,NA,Alabama A&M,63,70,-7
NA,Houston Baptist,NA,Sam Houston,80,87,-7
NA,Eastern Mich.,NA,Central Mich.,64,75,-11
NA,Texas St.,NA,Little Rock,67,56,11
NA,NJIT,NA,Albany (NY),75,83,-8
NA,Eastern Ky.,NA,Eastern Ill.,93,85,8
NA,Quinnipiac,NA,Monmouth,63,70,-7
NA,ULM,NA,Arkansas St.,72,93,-21
NA,Nicholls St.,NA,Central Ark.,74,72,2
NA,Louisiana,NA,UT Arlington,68,51,17
65,Liberty,NA,Stetson,68,58,10
66,Morehead St.,NA,Southeast Mo. St.,64,50,14
NA,Middle Tenn.,NA,Southern Miss.,59,64,-5
NA,Washington,46,UCLA,76,81,-5
17,Norfolk St.,NA,Delaware St.,87,76,11
NA,Murray St.,NA,UT Martin,79,57,22
18,App State,NA,South Alabama,83,77,6
NA,Belmont,NA,Jacksonville St.,98,91,7
NA,Fairfield,NA,Marist,55,52,3
NA,Ark.-Pine Bluff,NA,Southern U.,53,88,-35
NA,New Mexico,NA,UNLV,54,77,-23
NA,North Florida,NA,Lipscomb,72,67,5
NA,UNI,60,Loyola Chicago,57,72,-15
NA,Green Bay,NA,Detroit Mercy,65,68,-3
4,Virginia,59,Clemson,85,50,35
NA,IUPUI,NA,Northern Ky.,65,63,2
NA,Vanderbilt,57,Tennessee,61,81,-20
NA,LMU (CA),NA,Pacific,49,58,-9
NA,Colorado St.,NA,San Jose St.,88,61,27
NA,Robert Morris,NA,UIC,62,66,-4
NA,Mississippi Val.,NA,Alcorn,59,71,-12
NA,Arizona St.,64,Oregon St.,79,80,-1
NA,UTSA,NA,Louisiana Tech,66,82,-16
NA,McNeese,NA,New Orleans,84,99,-15
NA,Dixie St.,NA,UTRGV,65,72,-7
NA,UC Riverside,NA,Cal Poly,70,53,17
NA,Siena,NA,Rider,74,72,2
NA,Bellarmine,NA,FGCU,80,63,17
67,Cleveland St.,NA,Wright St.,49,85,-36
NA,Portland,NA,Pepperdine,65,80,-15
NA,Purdue Fort Wayne,NA,Milwaukee,81,74,7
NA,SFA,NA,UIW,83,65,18
NA,Kansas St.,37,Texas,67,82,-15
40,BYU,NA,San Francisco,72,63,9
NA,Louisville,NA,Miami (FL),72,78,-6
NA,UC San Diego,13,UC Santa Barbara,53,84,-31
NA,South Carolina,42,LSU,80,85,-5
NA,North Dakota St.,NA,North Dakota,78,82,-4
NA,Grambling,52,Texas Southern,78,72,6
NA,Tennessee St.,NA,Tennessee Tech,71,74,-3
NA,Tarleton St.,NA,California Baptist,67,73,-6
NA,Washington St.,6,Southern California,77,85,-8
1,Gonzaga,NA,Saint Mary's (CA),73,59,14
NA,CSUN,NA,Cal St. Fullerton,86,85,1
NA,California,NA,Utah,72,63,9
NA,UMass Lowell,NA,Binghamton,77,67,10
2,Iowa,NA,Northwestern,96,73,23
NA,American,NA,Navy,59,71,-12
NA,Northeastern,NA,Col. of Charleston,68,66,2
NA,William & Mary,68,Drexel,69,64,5
NA,Maine,NA,Vermont,60,88,-28
NA,Holy Cross,32,Colgate,87,96,-9
NA,Hofstra,NA,Delaware,68,67,1
34,Hartford,NA,UMBC,49,57,-8
NA,Army West Point,NA,Boston U.,76,65,11
NA,Penn St.,22,Purdue,72,80,-8
NA,UCF,54,Houston,58,75,-17
NA,Coppin St.,NA,Morgan St.,89,79,10
NA,Western Ky.,NA,Marshall,69,67,2
NA,New Hampshire,NA,Stony Brook,67,64,3
NA,Massachusetts,NA,Fordham,65,46,19
NA,Memphis,NA,Tulsa,57,58,-1
NA,Sacramento St.,NA,Idaho St.,56,57,-1
NA,Indiana St.,NA,Illinois St.,74,68,6
NA,Evansville,NA,Bradley,55,86,-31
NA,Bucknell,NA,Lehigh,77,61,16
NA,Fresno St.,NA,Nevada,65,79,-14
NA,Dayton,NA,George Washington,67,54,13
NA,UNI,60,Loyola Chicago,46,88,-42
NA,Santa Clara,NA,San Diego,69,63,6
17,Norfolk St.,NA,Delaware St.,83,79,4
NA,NJIT,NA,Albany (NY),71,83,-12
28,Virginia Tech,NA,Wake Forest,64,60,4
NA,Missouri S&T,NA,Missouri St.,49,94,-45
NA,Lafayette,NA,Loyola Maryland,72,70,2
NA,Tarleton St.,NA,Weber St.,79,94,-15
NA,CSUN,NA,Cal St. Fullerton,77,85,-8
NA,UNCW,NA,Towson,69,72,-3
NA,St. John's (NY),41,UConn,74,70,4
NA,Western Caro.,NA,Samford,78,82,-4
NA,Sacramento St.,NA,Idaho St.,70,65,5
NA,Saint Joseph's,NA,La Salle,83,90,-7
NA,Ark.-Pine Bluff,NA,Alcorn,48,82,-34
NA,Mississippi Val.,NA,Southern U.,61,102,-41
NA,VMI,NA,ETSU,81,92,-11
38,Florida St.,NA,Louisville,78,65,13
NA,The Citadel,48,UNC Greensboro,73,87,-14
NA,Grambling,NA,Prairie View,50,59,-9
NA,Wyoming,NA,Air Force,77,58,19
3,Kansas,19,Baylor,69,77,-8
NA,New Mexico,NA,UNLV,46,53,-7
NA,UNCW,NA,Towson,74,78,-4
NA,Buffalo,NA,Kent St.,81,84,-3
NA,High Point,NA,Longwood,54,75,-21
NA,Kansas St.,8,Oklahoma,50,76,-26
22,Purdue,20,Ohio St.,67,65,2
44,Maryland,35,Michigan,63,87,-24
6,Southern California,64,Oregon St.,56,58,-2
NA,Southeast Mo. St.,NA,Tennessee St.,63,59,4
NA,Butler,NA,DePaul,67,53,14
NA,Radford,NA,Campbell,97,91,6
NA,South Carolina,9,Missouri,70,81,-11
57,Tennessee,25,Florida,49,75,-26
NA,UNC Asheville,NA,Gardner-Webb,79,75,4
30,Winthrop,NA,Presbyterian,72,58,14
NA,Central Mich.,NA,Toledo,72,89,-17
NA,Akron,NA,Bowling Green,69,57,12
NA,Miami (FL),63,Syracuse,57,83,-26
NA,Ball St.,NA,Miami (OH),71,81,-10
NA,Penn St.,53,Illinois,65,79,-14
NA,San Diego,NA,LMU (CA),69,72,-3
NA,Ole Miss,NA,Mississippi St.,64,46,18
NA,Seton Hall,23,Villanova,74,76,-2
NA,Colorado St.,29,Utah St.,64,83,-19
NA,Duke,NA,Pittsburgh,73,79,-6
36,Alabama,42,LSU,105,75,30
NA,Fordham,NA,Davidson,58,73,-15
NA,ETSU,NA,Western Caro.,59,48,11
30,Winthrop,NA,Presbyterian,78,66,12
NA,Mercer,NA,The Citadel,83,63,20
NA,Rhode Island,NA,Duquesne,69,71,-2
NA,High Point,NA,Longwood,54,67,-13
10,VCU,43,St. Bonaventure,54,70,-16
NA,Furman,NA,VMI,73,74,-1
60,Loyola Chicago,NA,Valparaiso,75,39,36
NA,Radford,NA,Campbell,67,61,6
NA,UNC Asheville,NA,Gardner-Webb,57,84,-27
NA,Saint Joseph's,NA,George Mason,85,87,-2
NA,Kentucky,NA,Georgia,62,63,-1
59,Clemson,61,Georgia Tech,65,83,-18
NA,Wake Forest,26,North Carolina,73,80,-7
NA,Providence,5,Creighton,74,70,4
NA,Northwestern St.,NA,SFA,74,86,-12
NA,Southeastern La.,NA,McNeese,92,88,4
NA,Tulsa,54,Houston,59,86,-27
NA,Northwestern,27,Wisconsin,52,68,-16
NA,Nicholls St.,NA,Houston Baptist,92,83,9
NA,Chattanooga,NA,Samford,70,64,6
NA,A&M-Corpus Christi,NA,New Orleans,68,87,-19
NA,Auburn,21,Arkansas,73,75,-2
NA,Fresno St.,NA,Boise St.,51,73,-22
39,Colorado,NA,Washington,80,84,-4
NA,Bradley,NA,Illinois St.,56,71,-15
NA,San Diego Christian,NA,California Baptist,37,89,-52
49,Abilene Christian,NA,Sam Houston,57,64,-7
NA,Eastern Mich.,NA,Buffalo,77,92,-15
NA,San Jose St.,NA,New Mexico,51,67,-16
NA,Bowling Green,NA,Miami (OH),77,96,-19
NA,Central Mich.,NA,Akron,67,81,-14
NA,St. Mary's (MD),NA,Morgan St.,41,99,-58
NA,Fairleigh Dickinson,NA,Merrimack,51,62,-11
NA,Saint Francis (PA),NA,Sacred Heart,76,58,18
NA,Southeast Mo. St.,66,Morehead St.,65,76,-11
51,Mount St. Mary's,NA,Central Conn. St.,67,57,10
11,Wichita St.,NA,Memphis,52,72,-20
62,Rutgers,NA,Penn St.,67,75,-8
NA,Saint Mary's (CA),NA,LMU (CA),65,61,4
NA,Benedictine Mesa,NA,UNLV,45,99,-54
NA,UT Martin,NA,Eastern Ky.,73,113,-40
NA,Montana St.,NA,Northern Ariz.,62,51,11
NA,Eastern Ill.,NA,Belmont,66,79,-13
NA,Montana,NA,Sacramento St.,78,66,12
NA,Jacksonville St.,NA,Murray St.,85,82,3
NA,Tennessee Tech,NA,Austin Peay,69,72,-3
15,Eastern Wash.,NA,Northern Colo.,76,78,-2
NA,Indiana,2,Iowa,81,69,12
46,UCLA,NA,California,61,57,4
NA,Arizona,NA,Arizona St.,84,82,2
NA,Southern Utah,NA,Weber St.,67,91,-24
NA,Portland,40,BYU,67,95,-28
NA,Pacific,NA,Pepperdine,68,85,-17
NA,SIUE,NA,Tennessee St.,67,65,2
NA,San Francisco,NA,Santa Clara,73,50,23
NA,Utah,NA,Washington St.,71,56,15
NA,Idaho St.,NA,Portland St.,64,57,7
NA,Colorado St.,29,Utah St.,84,76,8
NA,Wright St.,NA,IUPUI,95,65,30
51,Mount St. Mary's,NA,Central Conn. St.,64,65,-1
NA,Fairleigh Dickinson,NA,Merrimack,71,76,-5
NA,Saint Francis (PA),NA,Sacred Heart,70,82,-12
NA,Niagara,NA,Quinnipiac,59,56,3
NA,UIC,NA,Youngstown St.,67,66,1
NA,Purdue Fort Wayne,NA,Green Bay,59,77,-18
NA,Troy,NA,Coastal Carolina,81,90,-9
NA,Georgia St.,18,App State,71,80,-9
NA,Texas St.,NA,ULM,57,47,10
NA,Southern Miss.,NA,UTSA,64,70,-6
NA,Marshall,NA,FIU,79,66,13
NA,Charlotte,NA,Fla. Atlantic,53,66,-13
NA,Marist,NA,Rider,64,76,-12
NA,Ga. Southern,NA,South Alabama,84,75,9
NA,Kennesaw St.,NA,North Florida,54,69,-15
NA,Arkansas St.,NA,Louisiana,68,81,-13
NA,UC Davis,NA,UC San Diego,69,89,-20
NA,Little Rock,NA,UT Arlington,66,59,7
NA,CSU Bakersfield,NA,UC Riverside,47,45,2
NA,Cal Poly,NA,UC Irvine,49,68,-19
NA,Jacksonville,NA,North Ala.,81,82,-1
35,Michigan,22,Purdue,70,53,17
NA,Detroit Mercy,NA,Oakland,81,86,-5
NA,Stetson,NA,Bellarmine,62,67,-5
NA,Saint Peter's,NA,Siena,68,62,6
NA,Northern Ky.,NA,Robert Morris,81,76,5
13,UC Santa Barbara,NA,CSUN,105,58,47
NA,Rice,NA,UAB,68,78,-10
NA,Nevada,NA,Wyoming,64,71,-7
NA,Hawaii,NA,Cal St. Fullerton,67,83,-16
NA,FGCU,NA,Lipscomb,79,69,10
NA,South Dakota,NA,Western Ill.,65,60,5
NA,North Dakota,NA,South Dakota St.,73,92,-19
NA,Denver,NA,North Dakota St.,58,70,-12
NA,Milwaukee,67,Cleveland St.,53,64,-11
58,San Diego St.,NA,Air Force,98,61,37
16,Grand Canyon,NA,Dixie St.,77,74,3
NA,Louisiana Tech,NA,UTEP,74,82,-8
NA,James Madison,NA,Northeastern,63,72,-9
NA,Wright St.,NA,IUPUI,100,72,28
41,UConn,5,Creighton,66,74,-8
54,Houston,NA,Temple,68,51,17
NA,Kent St.,NA,Toledo,74,76,-2
48,UNC Greensboro,NA,Chattanooga,74,66,8
NA,Loyola Maryland,NA,American,70,71,-1
NA,Auburn,NA,South Carolina,109,86,23
28,Virginia Tech,63,Syracuse,60,78,-18
3,Kansas,8,Oklahoma,68,75,-7
NA,George Mason,NA,Saint Joseph's,71,62,9
68,Drexel,NA,William & Mary,79,64,15
21,Arkansas,NA,Vanderbilt,92,71,21
NA,Delaware,NA,UNCW,70,77,-7
17,Norfolk St.,NA,Coppin St.,71,81,-10
NA,Ball St.,14,Ohio,77,85,-8
NA,San Jose St.,NA,New Mexico,83,71,12
NA,NC State,26,North Carolina,76,86,-10
NA,VMI,NA,Mercer,80,83,-3
NA,Marshall,NA,FIU,89,72,17
15,Eastern Wash.,NA,Northern Colo.,82,76,6
NA,Weber St.,NA,Southern Utah,72,77,-5
NA,Montana St.,NA,Northern Ariz.,58,53,5
NA,Lehigh,NA,Holy Cross,75,72,3
NA,SMU,NA,UCF,78,65,13
NA,Stony Brook,NA,NJIT,65,74,-9
44,Maryland,NA,Minnesota,63,49,14
NA,Albany (NY),NA,New Hampshire,64,71,-7
25,Florida,NA,Georgia,92,84,8
NA,Towson,NA,Hofstra,58,71,-13
19,Baylor,56,Oklahoma St.,81,66,15
